area_code,crime_risk_index,reported_incidents_month
AREA-00-00,0.6413,32
AREA-00-01,0.1835,16
AREA-00-02,0.5292,27
AREA-00-03,0.0865,10
AREA-00-04,0.5765,29
AREA-00-05,0.14,9
AREA-00-06,0.1476,6
AREA-00-07,0.1203,6
AREA-00-08,0.031,4
AREA-00-09,0.1351,14
AREA-00-10,1.0,44
AREA-00-11,0.4112,21
AREA-01-00,0.5708,32
AREA-01-01,0.38,18
AREA-01-02,0.657,31
AREA-01-03,0.7968,33
AREA-01-04,0.5381,23
AREA-01-05,0.0901,10
AREA-01-06,0.6305,31
AREA-01-07,0.6078,29
AREA-01-08,0.5787,27
AREA-01-09,0.3672,17
AREA-01-10,0.2574,20
AREA-01-11,0.0961,11
AREA-02-00,0.3755,15
AREA-02-01,0.6348,26
AREA-02-02,0.4622,22
AREA-02-03,0.2714,13
AREA-02-04,0.1557,8
AREA-02-05,0.1896,12
AREA-02-06,0.4809,20
AREA-02-07,0.601,24
AREA-02-08,0.1236,9
AREA-02-09,0.0663,4
AREA-02-10,0.7029,37
AREA-02-11,0.425,22
AREA-03-00,0.2307,10
AREA-03-01,0.0048,4
AREA-03-02,0.1358,5
AREA-03-03,0.427,20
AREA-03-04,0.5923,28
AREA-03-05,0.6405,32
AREA-03-06,0.6755,32
AREA-03-07,0.231,14
AREA-03-08,0.258,11
AREA-03-09,0.2094,15
AREA-03-10,0.2736,13
AREA-03-11,0.047,4
AREA-04-00,0.4559,23
AREA-04-01,0.086,10
AREA-04-02,0.4667,22
AREA-04-03,0.0441,8
AREA-04-04,0.4096,19
AREA-04-05,0.0521,9
AREA-04-06,0.6682,35
AREA-04-07,0.4335,24
AREA-04-08,0.1972,13
AREA-04-09,0.459,26
AREA-04-10,0.4103,24
AREA-04-11,0.4984,20
AREA-05-00,1.0,49
AREA-05-01,0.7824,37
AREA-05-02,0.605,29
AREA-05-03,0.6717,27
AREA-05-04,0.4525,19
AREA-05-05,0.4782,19
AREA-05-06,0.3687,17
AREA-05-07,0.471,28
AREA-05-08,0.3828,19
AREA-05-09,0.6632,31
AREA-05-10,0.4178,20
AREA-05-11,0.019,1
AREA-06-00,0.0259,9
AREA-06-01,0.6707,35
AREA-06-02,0.7427,37
AREA-06-03,0.6339,33
AREA-06-04,0.5499,26
AREA-06-05,0.2171,15
AREA-06-06,0.5853,24
AREA-06-07,0.207,8
AREA-06-08,0.8821,43
AREA-06-09,0.3366,19
AREA-06-10,0.6803,28
AREA-06-11,0.0554,3
AREA-07-00,0.189,15
AREA-07-01,0.1893,15
AREA-07-02,0.4524,27
AREA-07-03,0.1779,11
AREA-07-04,0.4384,26
AREA-07-05,0.4462,20
AREA-07-06,0.6987,35
AREA-07-07,0.0802,11
AREA-07-08,0.4371,22
AREA-07-09,0.5903,26
AREA-07-10,0.3938,16
AREA-07-11,0.2842,17
AREA-08-00,0.5123,27
AREA-08-01,0.6124,30
AREA-08-02,0.6256,26
AREA-08-03,0.4284,25
AREA-08-04,0.2657,15
AREA-08-05,0.5022,21
AREA-08-06,1.0,42
AREA-08-07,0.3573,17
AREA-08-08,0.4808,26
AREA-08-09,0.4674,22
AREA-08-10,0.5136,22
AREA-08-11,0.8184,41
AREA-09-00,0.5996,27
AREA-09-01,0.4099,16
AREA-09-02,0.5217,26
AREA-09-03,0.3711,24
AREA-09-04,0.2234,13
AREA-09-05,0.6672,27
AREA-09-06,0.1515,8
AREA-09-07,0.0919,4
AREA-09-08,0.4598,20
AREA-09-09,1.0,41
AREA-09-10,0.4795,28
AREA-09-11,0.689,36
AREA-10-00,0.3521,17
AREA-10-01,0.0146,4
AREA-10-02,0.1017,10
AREA-10-03,0.5869,32
AREA-10-04,0.5443,29
AREA-10-05,0.0787,6
AREA-10-06,0.3164,17
AREA-10-07,0.714,33
AREA-10-08,0.4528,25
AREA-10-09,0.1887,10
AREA-10-10,0.2224,15
AREA-10-11,0.3189,13
AREA-11-00,0.0918,6
AREA-11-01,0.2899,19
AREA-11-02,0.3975,20
AREA-11-03,0.4069,20
AREA-11-04,0.327,14
AREA-11-05,0.2547,12
AREA-11-06,0.3493,17
AREA-11-07,0.229,12
AREA-11-08,0.0085,8
AREA-11-09,0.6386,26
AREA-11-10,0.4357,23
AREA-11-11,0.6854,36
