category,lat,lon,osm_type,osm_id,name
metro,28.4812716,77.0930017,node,535297593,Sikanderpur
metro,28.4917023,77.0881318,node,1988848864,Belvedere Towers
metro,28.4875596,77.0929909,node,1988848882,DLF Phase 2
metro,28.4809969,77.0944367,node,1988848900,Sikanderpur RMRG Station
metro,28.5007775,77.0946306,node,2533456421,Moulsari Avenue Station
metro,28.4935677,77.093661,node,2533456422,Phase 3 Station
metro,28.4574254,77.0969529,node,3181132346,Sector 42-43
metro,28.4714258,77.0939606,node,3953773571,DLF Phase 1
metro,28.4795543,77.0798926,node,7018301881,M G Road
metro,28.4723277,77.0724222,node,7018301882,IFFCO Chowk
metro,28.4593429,77.0726571,node,7018316590,Millennium City Centre Gurugram
metro,28.4980703,77.0892567,node,13289640468,Cyber City
metro,28.4464192,77.1003835,way,1316295260,Sector 53/54 Metro Station
metro,28.4329768,77.1048971,node,3181132316,Sector 54 Chowk
metro,28.4463829,77.1004632,node,3181132336,Sector 53-54
metro,28.4233556,77.1051327,node,3953773598,Sector 55–56
metro,28.521168,77.2022237,node,6179179025,Saket
metro,28.4820212,77.1022685,node,7018301879,Guru Dronacharya
metro,28.5067242,77.1750019,node,7018316592,Chhatarpur
metro,28.4991235,77.1613745,node,7018711118,Sultanpur
metro,28.512951,77.1864532,node,7018886730,Qutab Minar
metro,28.493751,77.1491866,node,7018886731,Ghitorni
metro,28.4807352,77.1257622,node,7018886732,Arjan Garh
metro,28.4227134,77.3103481,node,9552724758,Badhkal Mor
metro,28.5195804,77.2946029,node,13860634717,Mohan Estate
metro,28.4484805,77.3082941,way,351058951,Mewala Maharajpur
metro,28.4932579,77.3030303,way,581226084,Badarpur
metro,28.5024441,77.299305,way,662332955,Tughlakabad
metro,28.478084,77.3048262,way,702118116,Sarai Metro Station
metro,28.4382126,77.3090597,way,1038927458,Sector 28
metro,28.4108327,77.3114058,way,1038927460,Old Faridabad
metro,28.4576936,77.3074035,way,1041873112,N.H.P.C. Chowk
metro,28.5564626,77.0866995,node,927873494,IGI Airport
metro,28.6119086,76.9785264,node,2579042823,Dhansa Bus Stand
metro,28.5889102,77.0830764,node,2832938323,Palam
metro,28.60185,77.0823751,node,2832938324,Dashrath Puri
metro,28.6289471,77.0779492,node,2832938329,Janakpuri West
metro,28.586443,77.0494433,node,5737168025,Dwarka Sector 11
metro,28.5922362,77.0407315,node,6539894848,Dwarka Sector 12
metro,28.5810577,77.0574996,node,6539894859,Dwarka Sector 10
metro,28.574272,77.0653316,node,6539894860,Dwarka Sector 9
metro,28.5656109,77.0670366,node,6539894861,Dwarka Sector 8
metro,28.5519218,77.0585605,node,6539894862,Dwarka Sector 21
metro,28.6295839,77.078085,node,6541854249,Janakpuri West
metro,28.6248465,77.0652861,node,6541854250,Uttam Nagar East
metro,28.621757,77.0557122,node,6541854251,Uttam Nagar West
metro,28.6202758,77.0450787,node,6541854252,Nawada
metro,28.61931,77.0332792,node,6541854253,Dwarka Mor
metro,28.6158874,77.0224342,node,6541854254,Dwarka - Kakrola (Grey Line)
metro,28.6149362,77.0227628,node,6541854255,Dwarka - Kakrola (Blue Line)
metro,28.6022218,77.0259765,node,6541854256,Dwarka Sector 14
metro,28.597009,77.0335407,node,6541854257,Dwarka Sector 13
metro,28.633021,77.086757,node,6548798518,Janakpuri East
metro,28.6365482,77.0964961,node,6548798519,Tilak Nagar
metro,28.6173003,77.0104375,node,7039532905,Nangli
metro,28.6124504,76.9865067,node,9172459622,Najafgarh
metro,28.61572,77.0851893,node,9936590366,Dabri Mor - Janakpuri South
metro,28.5508323,77.0453073,node,11203142798,Yashobhoomi Dwarka Sector 25
metro,28.6477917,77.0843425,node,12149316873,Krishna Park Extension
metro,28.6450127,77.1692817,node,268217229,Patel Nagar
metro,28.6440122,77.1885235,node,345234441,Karol Bagh
metro,28.5487786,77.1207949,node,554257763,Delhi Aerocity
metro,28.5442564,77.2067072,node,554257787,Hauz Khas (Yellow Line)
metro,28.6288963,77.2113218,node,554257833,Shivaji Stadium
metro,28.6434826,77.2227421,node,554257841,New Delhi
metro,28.5918719,77.1617158,node,927873513,Dhaula Kuan
metro,28.6424786,77.2231116,node,938409545,New Delhi Airport Express Terminal
metro,28.5433691,77.2050447,node,2832938172,Hauz Khas (Magenta Line)
metro,28.5568967,77.1750592,node,2832938185,Munirka
metro,28.557827,77.1611168,node,2832938196,Vasant Vihar
metro,28.5608462,77.1402814,node,2832938301,Shankar Vihar
metro,28.5771145,77.1111279,node,2832938307,Sadar Bazar Cantonment
metro,28.5423747,77.2210916,node,2833058721,Panchsheel Park
metro,28.5503805,77.1855231,node,2833058722,R. K. Puram
metro,28.564835,77.1226566,node,2833058753,Terminal 1 IGI Airport
metro,28.6158794,77.2122822,node,5453646586,Central Secretariat
metro,28.6424955,77.1782756,node,5781445033,Rajendra Place
metro,28.5785326,77.175741,node,6453544485,Sir M. Vishweshwaraiah Moti Bagh
metro,28.5702618,77.1878709,node,6453544486,Bhikaji Cama Place
metro,28.5736524,77.2075857,node,6453544487,Dilli Haat - INA (Pink Line)
metro,28.5685664,77.2205677,node,6453544489,South Extension
metro,28.6371795,77.1297333,node,6453544492,Mayapuri
metro,28.6490563,77.1227198,node,6453992649,Rajouri Garden (Blue Line)
metro,28.5741769,77.2093017,node,6453992653,Dilli Haat - INA (Yellow Line)
metro,28.6086201,77.1404187,node,6458165644,Delhi Cantt
metro,28.575817,77.1980786,node,6458202842,Sarojini Nagar
metro,28.6243852,77.1364438,node,6458202844,Naraina Vihar
metro,28.5470121,77.1945546,node,6485904396,IIT Delhi
metro,28.6443188,77.1999165,node,6539894849,Jhandewalan
metro,28.6392436,77.2085787,node,6539894850,Ramakrishna Ashram Marg
metro,28.6327062,77.2193123,node,6539894851,Rajiv Chowk
metro,28.6404593,77.1051815,node,6548798520,Subhash Nagar
metro,28.6437265,77.11282,node,6548798521,Tagore Garden
metro,28.5668602,77.2078058,node,7018301883,A.I.I.M.S.
metro,28.5580071,77.2067933,node,7018316585,Green Park
metro,28.5290656,77.2048241,node,7018316591,Malviya Nagar
metro,28.6229664,77.214031,node,7018886726,Patel Chowk
metro,28.6095136,77.211796,node,7018886727,Seva Teerth
metro,28.5973513,77.2110967,node,7018886728,Lok Kalyan Marg
metro,28.5865094,77.2125273,node,7018886729,Jor Bagh
metro,28.6327786,77.2196985,node,8018558072,Rajiv Chowk
metro,28.6240485,77.2192587,node,9584236507,Janpath
metro,28.6233674,77.2144911,way,351418783,Patel Chowk
metro,28.5893688,77.1693925,way,662484598,Durgabai Deshmukh South Campus
metro,28.5494785,77.25909,node,927873510,Kalkaji Mandir
metro,28.5597477,77.2749004,node,2832938187,Sukhdev Vihar
