district,year,source,reported_crimes,population,notes
Central Delhi,,PLACEHOLDER,0,0,fill in from NCRB / Delhi Police - see data/README.md
East Delhi,,PLACEHOLDER,0,0,fill in from NCRB / Delhi Police - see data/README.md
New Delhi,,PLACEHOLDER,0,0,fill in from NCRB / Delhi Police - see data/README.md
North Delhi,,PLACEHOLDER,0,0,fill in from NCRB / Delhi Police - see data/README.md
North East Delhi,,PLACEHOLDER,0,0,fill in from NCRB / Delhi Police - see data/README.md
North West Delhi,,PLACEHOLDER,0,0,fill in from NCRB / Delhi Police - see data/README.md
Shahdara,,PLACEHOLDER,0,0,fill in from NCRB / Delhi Police - see data/README.md
South Delhi,,PLACEHOLDER,0,0,fill in from NCRB / Delhi Police - see data/README.md
South East Delhi,,PLACEHOLDER,0,0,fill in from NCRB / Delhi Police - see data/README.md
South West Delhi,,PLACEHOLDER,0,0,fill in from NCRB / Delhi Police - see data/README.md
West Delhi,,PLACEHOLDER,0,0,fill in from NCRB / Delhi Police - see data/README.md
